player,map,gameMode,kills,deaths,damage,objMainStat
Abuzah,Invasion,Control,15.0,20.0,3555.0,7.0
Abuzah,Invasion,SND,4.0,7.0,2270.0,2.0
Abuzah,Karachi,Hardpoint,17.5,20.0,4016.5,139.5
Abuzah,Rio,Hardpoint,18.0,18.0,3781.0,85.0
Abuzah,Terminal,SND,5.0,4.0,1726.0,1.0
Accuracy,Highrise,SND,7.0,9.0,1224.0,3.0
Accuracy,Karachi,Control,16.0,24.0,4096.0,4.0
Accuracy,Rio,Hardpoint,23.0,24.0,4211.0,70.0
Afro,Highrise,Control,26.0,18.0,5149.0,3.0
Afro,Highrise,SND,8.0,5.0,1553.0,2.0
Afro,Invasion,Hardpoint,24.0,21.0,3896.0,98.0
Afro,Karachi,Control,12.0,18.0,2045.0,3.0
Afro,Rio,Hardpoint,17.0,27.0,3813.0,57.0
Afro,Sub Base,Hardpoint,11.5,16.0,2217.0,29.0
Afro,Terminal,SND,4.0,7.0,566.0,2.0
Arcitys,Invasion,Control,15.5,19.0,3223.5,0.5
Arcitys,Invasion,SND,8.0,6.0,2110.0,0.0
Arcitys,Karachi,Hardpoint,18.0,17.0,3875.5,13.0
Arcitys,Rio,Hardpoint,14.0,17.0,2494.0,61.0
Arcitys,Terminal,SND,3.0,8.0,1103.0,0.0
Asim,Invasion,Control,16.5,18.0,3539.5,1.5
Asim,Karachi,Hardpoint,19.0,26.0,3783.0,54.0
Asim,Skidrow,Hardpoint,28.0,16.0,3902.0,61.0
Asim,Sub Base,Hardpoint,17.0,23.0,3325.0,48.0
Asim,Terminal,SND,8.0,6.0,1818.0,1.0
Assault,Highrise,Control,17.5,25.0,3715.5,3.5
Assault,Highrise,SND,4.0,7.0,1363.0,3.0
Assault,Invasion,Hardpoint,19.5,22.5,4047.0,27.0
Assault,Invasion,SND,3.0,5.0,1127.0,0.0
Assault,Sub Base,Hardpoint,14.0,14.5,3000.0,69.0
Assault,Terminal,SND,11.0,2.0,2191.0,2.0
Attach,Highrise,SND,6.0,3.0,1400.0,1.0
Attach,Invasion,Control,24.0,25.0,5245.5,0.5
Attach,Invasion,Hardpoint,24.0,23.0,5238.0,46.0
Attach,Invasion,SND,7.0,8.0,2158.0,1.0
Attach,Karachi,Control,23.0,15.0,5025.0,8.0
Attach,Karachi,Hardpoint,25.0,17.0,4289.0,115.0
Attach,Rio,Hardpoint,22.5,22.5,4669.0,58.0
Breszy,Invasion,Control,21.0,22.0,4199.0,2.5
Breszy,Invasion,SND,9.0,8.0,1921.0,1.0
Breszy,Karachi,Hardpoint,17.5,23.5,3646.5,21.0
Breszy,Rio,Hardpoint,22.0,23.0,4107.0,35.0
Breszy,Terminal,SND,7.0,6.0,1883.0,1.0
Cellium,Highrise,Control,27.0,21.0,6420.0,1.0
Cellium,Highrise,SND,8.0,7.0,1563.0,2.0
Cellium,Invasion,Hardpoint,16.0,24.0,4385.0,93.0
Cellium,Invasion,SND,9.0,7.0,2086.0,0.0
Cellium,Sub Base,Hardpoint,19.0,19.0,3827.0,37.0
Clayster,Highrise,SND,0.0,5.0,691.0,0.0
Clayster,Invasion,Hardpoint,16.0,26.0,3956.0,60.0
