player,map,gameMode,kills,deaths,damage,objMainStat,kdRatio
Abuzah,Invasion,Control,30,40,7110,14,0.75
Abuzah,Invasion,SND,4,7,2270,2,0.5714285714285714
Abuzah,Karachi,Hardpoint,35,40,8033,279,0.875
Abuzah,Rio,Hardpoint,18,18,3781,85,1.0
Abuzah,Terminal,SND,5,4,1726,1,1.25
Accuracy,Highrise,SND,7,9,1224,3,0.7777777777777778
Accuracy,Karachi,Control,16,24,4096,4,0.6666666666666666
Accuracy,Rio,Hardpoint,23,24,4211,70,0.9583333333333334
Afro,Highrise,Control,26,18,5149,3,1.4444444444444444
Afro,Highrise,SND,8,5,1553,2,1.6
Afro,Invasion,Hardpoint,24,21,3896,98,1.1428571428571428
Afro,Karachi,Control,12,18,2045,3,0.6666666666666666
Afro,Rio,Hardpoint,17,27,3813,57,0.6296296296296297
Afro,Sub Base,Hardpoint,23,32,4434,58,0.71875
Afro,Terminal,SND,4,7,566,2,0.5714285714285714
Arcitys,Invasion,Control,31,38,6447,1,0.8157894736842105
Arcitys,Invasion,SND,8,6,2110,0,1.3333333333333333
Arcitys,Karachi,Hardpoint,36,34,7751,26,1.0588235294117647
Arcitys,Rio,Hardpoint,14,17,2494,61,0.8235294117647058
Arcitys,Terminal,SND,3,8,1103,0,0.375
Asim,Invasion,Control,33,36,7079,3,0.9166666666666666
Asim,Karachi,Hardpoint,19,26,3783,54,0.7307692307692307
Asim,Skidrow,Hardpoint,28,16,3902,61,1.75
Asim,Sub Base,Hardpoint,17,23,3325,48,0.7391304347826086
Asim,Terminal,SND,16,12,3636,2,1.3333333333333333
Assault,Highrise,Control,35,50,7431,7,0.7
Assault,Highrise,SND,4,7,1363,3,0.5714285714285714
Assault,Invasion,Hardpoint,39,45,8094,54,0.8666666666666667
Assault,Invasion,SND,3,5,1127,0,0.6
Assault,Sub Base,Hardpoint,28,29,6000,138,0.9655172413793104
Assault,Terminal,SND,11,2,2191,2,5.5
Attach,Highrise,SND,6,3,1400,1,2.0
Attach,Invasion,Control,48,50,10491,1,0.96
Attach,Invasion,Hardpoint,24,23,5238,46,1.0434782608695652
Attach,Invasion,SND,14,16,4316,2,0.875
Attach,Karachi,Control,23,15,5025,8,1.5333333333333334
Attach,Karachi,Hardpoint,25,17,4289,115,1.4705882352941178
Attach,Rio,Hardpoint,45,45,9338,116,1.0
Breszy,Invasion,Control,42,44,8398,5,0.9545454545454546
Breszy,Invasion,SND,9,8,1921,1,1.125
Breszy,Karachi,Hardpoint,35,47,7293,42,0.7446808510638298
Breszy,Rio,Hardpoint,22,23,4107,35,0.9565217391304348
Breszy,Terminal,SND,7,6,1883,1,1.1666666666666667
Cellium,Highrise,Control,27,21,6420,1,1.2857142857142858
Cellium,Highrise,SND,8,7,1563,2,1.1428571428571428
Cellium,Invasion,Hardpoint,16,24,4385,93,0.6666666666666666
Cellium,Invasion,SND,9,7,2086,0,1.2857142857142858
Cellium,Sub Base,Hardpoint,19,19,3827,37,1.0
Clayster,Highrise,SND,0,5,691,0,0.0
Clayster,Invasion,Hardpoint,16,26,3956,60,0.6153846153846154
Clayster,Karachi,Control,13,27,2602,4,0.48148148148148145
CleanX,Highrise,SND,8,7,1628,3,1.1428571428571428
CleanX,Invasion,Control,24,19,5700,1,1.263157894736842
CleanX,Invasion,SND,10,7,2112,4,1.4285714285714286
CleanX,Karachi,Control,18,11,3084,6,1.6363636363636365
CleanX,Rio,Hardpoint,50,48,9359,123,1.0416666666666667
CleanX,Sub Base,Hardpoint,19,12,4184,25,1.5833333333333333
Dashy,Invasion,Hardpoint,26,22,5587,69,1.1818181818181819
Dashy,Karachi,Control,36,23,7072,14,1.565217391304348
Dashy,Karachi,SND,10,8,2400,3,1.25
Dashy,Rio,Hardpoint,26,30,5292,86,0.8666666666666667
Dashy,Rio,SND,10,6,1962,0,1.6666666666666667
Dashy,Sub Base,Hardpoint,23,24,4519,20,0.9583333333333334
Dashy,Terminal,SND,3,9,1710,1,0.3333333333333333
Diamondcon,Highrise,Control,41,53,9131,4,0.7735849056603774
Diamondcon,Highrise,SND,6,6,1407,1,1.0
Diamondcon,Invasion,Hardpoint,39,55,8380,104,0.7090909090909091
Diamondcon,Invasion,SND,13,5,2387,3,2.6
Diamondcon,Sub Base,Hardpoint,34,31,6485,69,1.096774193548387
Diamondcon,Terminal,SND,4,4,1049,1,1.0
Drazah,Highrise,Control,32,26,6086,5,1.2307692307692308
Drazah,Highrise,SND,4,7,1018,0,0.5714285714285714
Drazah,Invasion,Hardpoint,35,15,6328,28,2.3333333333333335
Drazah,Invasion,SND,5,7,1641,1,0.7142857142857143
Drazah,Sub Base,Hardpoint,13,25,3404,48,0.52
Envoy,Highrise,SND,9,8,2133,0,1.125
Envoy,Invasion,Control,31,25,4780,6,1.24
Envoy,Invasion,SND,8,8,1575,0,1.0
Envoy,Karachi,Control,20,12,3337,1,1.6666666666666667
Envoy,Rio,Hardpoint,54,51,9431,213,1.0588235294117647
Envoy,Sub Base,Hardpoint,13,12,2655,52,1.0833333333333333
EriKBooM,Highrise,SND,3,9,741,1,0.3333333333333333
EriKBooM,Invasion,Hardpoint,26,27,5146,56,0.9629629629629629
EriKBooM,Karachi,Control,31,37,6608,5,0.8378378378378378
EriKBooM,Rio,Hardpoint,23,25,4103,19,0.92
EriKBooM,Rio,SND,8,7,1390,3,1.1428571428571428
Estreal,Highrise,Control,48,54,9684,2,0.8888888888888888
Estreal,Highrise,SND,11,3,1684,2,3.6666666666666665
Estreal,Invasion,Hardpoint,51,51,11477,47,1.0
Estreal,Invasion,SND,7,7,1581,0,1.0
Estreal,Sub Base,Hardpoint,43,38,7635,88,1.131578947368421
Estreal,Terminal,SND,5,4,867,0,1.25
Fame,Highrise,Control,53,58,10249,8,0.9137931034482759
Fame,Highrise,SND,6,6,1254,1,1.0
Fame,Invasion,Hardpoint,45,48,8565,145,0.9375
Fame,Invasion,SND,7,7,1205,1,1.0
Fame,Sub Base,Hardpoint,36,40,7953,71,0.9
Fame,Terminal,SND,6,3,1043,1,2.0
FelonY,Highrise,SND,5,5,1262,0,1.0
FelonY,Invasion,Hardpoint,21,21,4018,54,1.0
FelonY,Karachi,Control,23,21,4811,5,1.0952380952380953
Ghosty,Highrise,Control,29,19,5141,4,1.5263157894736843
Ghosty,Highrise,SND,10,5,2252,1,2.0
Ghosty,Invasion,Hardpoint,22,21,5215,62,1.0476190476190477
